,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
0,kahului,20.8947,-156.47,81.97,79,89,16.42,US,1626915795
1,port alfred,-33.5906,26.891,48.96,80,95,32.59,ZA,1626915887
2,narrabri,-30.3167,149.7833,53.53,64,4,1.99,AU,1626916115
3,broome,42.2506,-75.833,64.78,78,1,8.05,US,1626915853
4,panlaitan,12.1191,119.8486,82.83,82,94,24.07,PH,1626916116
5,saldanha,-33.0117,17.9442,52.11,64,45,15.61,ZA,1626916029
6,sao jose da coroa grande,-8.8978,-35.1478,74.46,83,11,10.45,BR,1626915883
7,caravelas,-17.7125,-39.2481,69.08,77,0,5.01,BR,1626915983
8,rikitea,-23.1203,-134.9692,72.86,63,3,14.5,PF,1626915841
9,mahebourg,-20.4081,57.7,68.25,71,72,18.05,MU,1626915672
10,lasa,46.6166,10.7002,63.63,88,58,1.7,IT,1626916117
11,datong,40.0936,113.2914,68.32,80,97,8.79,CN,1626915991
12,ushuaia,-54.8,-68.3,33.84,91,100,8.66,AR,1626915835
13,tazovskiy,67.4667,78.7,57.83,93,100,19.8,RU,1626915951
14,avarua,-21.2078,-159.775,80.65,78,0,11.5,CK,1626915836
15,vaini,-21.2,-175.2,75.51,71,2,18.57,TO,1626915699
16,castro,-24.7911,-50.0119,49.06,59,0,1.59,BR,1626915679
17,cape town,-33.9258,18.4232,46.11,91,21,3.0,ZA,1626915751
18,azovo,54.6997,73.0237,62.35,65,5,7.36,RU,1626916119
19,hasaki,35.7333,140.8333,86.29,68,10,5.1,JP,1626915721
20,le port,-20.9373,55.2919,69.8,69,29,10.67,RE,1626915977
21,tuktoyaktuk,69.4541,-133.0374,49.01,82,20,12.33,CA,1626915877
22,victoria,22.2855,114.1577,87.85,83,48,1.01,HK,1626915917
23,buenos aires,-34.6132,-58.3772,57.96,71,0,6.91,AR,1626916023
24,albany,42.6001,-73.9662,66.45,91,1,3.27,US,1626916069
25,yellowknife,62.456,-114.3525,73.29,50,11,4.0,CA,1626916126
26,cap malheureux,-19.9842,57.6142,68.47,71,87,8.01,MU,1626916126
27,lida,53.8833,25.2997,51.8,81,0,5.77,BY,1626916127
28,fortuna,40.5982,-124.1573,77.18,67,20,7.0,US,1626916127
29,nador,35.174,-2.9287,73.65,83,90,2.3,MA,1626916127
30,new norfolk,-42.7826,147.0587,54.91,67,96,3.0,AU,1626916128
31,tilichiki,60.4667,166.1,64.78,55,50,17.72,RU,1626916133
32,yeppoon,-23.1333,150.7333,58.78,46,0,6.35,AU,1626915775
33,nouadhibou,20.931,-17.0347,67.71,87,7,22.21,MR,1626916134
34,faanui,-16.4833,-151.75,79.14,76,15,17.13,PF,1626916134
35,kunya,12.2233,8.5325,78.51,70,98,9.35,NG,1626916135
36,bluff,-46.6,168.3333,48.79,59,39,9.06,NZ,1626916135
37,talnakh,69.4865,88.3972,59.52,56,100,9.04,RU,1626916136
38,barrow,71.2906,-156.7887,37.42,87,90,19.57,US,1626916136
39,nikolskoye,59.7035,30.7861,55.02,78,16,5.26,RU,1626916142
40,kabare,-2.4683,28.8242,63.03,59,67,0.81,CD,1626916142
41,funadhoo,6.15,73.2667,83.21,76,100,17.27,MV,1626916142
42,busselton,-33.65,115.3333,50.04,70,73,4.43,AU,1626915844
43,kodiak,57.79,-152.4072,54.27,91,100,6.64,US,1626915952
44,berlevag,70.8578,29.0864,43.0,92,100,18.99,NO,1626915833
45,mushie,-3.0167,16.9,73.18,45,9,3.13,CD,1626916144
46,kapaa,22.0752,-159.319,82.38,83,75,1.99,US,1626915849
47,nechi,8.0942,-74.7757,79.93,90,22,0.69,CO,1626916144
